n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
1907.0,2.0,91.0,590.0,531.0,655.0,131.0,0.27844782380702676,23.0,2335.0,0.996150610675763,0.0,3.0,131.0
1907.0,0.0,93.0,584.0,533.0,650.0,140.0,0.27949659150498163,31.0,2366.0,0.9961278065084982,0.0,3.0,140.0
1906.0,1.0,93.0,617.0,527.0,638.0,124.0,0.276495278069255,30.0,2396.0,0.9961021090899426,0.0,3.0,125.0
1905.0,1.0,94.0,641.0,515.0,634.0,115.0,0.27034120734908135,37.0,2433.0,0.9960739173850914,0.0,3.0,115.0
1904.0,1.0,95.0,652.0,502.0,620.0,130.0,0.26365546218487396,30.0,2463.0,0.9960586907435259,0.0,3.0,130.0
1901.0,3.0,96.0,665.0,519.0,594.0,123.0,0.27301420305102575,37.0,2500.0,0.9960326824638752,0.0,3.0,124.0
1900.0,1.0,99.0,651.0,496.0,617.0,136.0,0.26105263157894737,29.0,2529.0,0.9960089880069048,0.0,3.0,136.0
1900.0,0.0,100.0,642.0,509.0,606.0,143.0,0.26789473684210524,34.0,2563.0,0.9959823871778019,0.0,3.0,143.0
1899.0,1.0,100.0,647.0,532.0,594.0,126.0,0.28014744602422326,50.0,2613.0,0.9959529061339152,0.0,3.0,126.0
1898.0,1.0,101.0,653.0,532.0,594.0,119.0,0.2802950474183351,37.0,2650.0,0.9959314894750373,0.0,3.0,119.0
1893.0,5.0,102.0,642.0,532.0,589.0,130.0,0.2810353935552034,28.0,2678.0,0.9959081858179257,0.0,3.0,130.0
1890.0,3.0,107.0,647.0,529.0,588.0,126.0,0.2798941798941799,33.0,2711.0,0.9958824922085234,0.0,3.0,126.0
1886.0,4.0,110.0,655.0,523.0,582.0,126.0,0.2773064687168611,38.0,2749.0,0.9958617092749741,0.0,3.0,126.0
1886.0,0.0,114.0,645.0,537.0,582.0,122.0,0.28472958642629903,42.0,2791.0,0.9958306619880428,0.0,3.0,122.0
1884.0,2.0,114.0,641.0,549.0,571.0,123.0,0.2914012738853503,37.0,2828.0,0.9958107830609033,0.0,3.0,123.0
1882.0,2.0,116.0,636.0,567.0,553.0,126.0,0.3012752391073326,47.0,2875.0,0.9957858285372153,0.0,3.0,127.0
1881.0,1.0,118.0,635.0,565.0,546.0,135.0,0.3003721424774056,34.0,2909.0,0.9957610986042402,0.0,3.0,135.0
