n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
1883.0,1.0,116.0,605.0,535.0,627.0,116.0,0.28412108337758896,33.0,2444.0,0.9928163433828114,0.0,9.0,116.0
1879.0,4.0,117.0,605.0,550.0,620.0,104.0,0.2927088877062267,42.0,2486.0,0.992797500007865,0.0,9.0,104.0
1879.0,0.0,121.0,622.0,534.0,605.0,118.0,0.28419372006386373,22.0,2508.0,0.992781456265756,0.0,9.0,118.0
1877.0,2.0,121.0,630.0,531.0,612.0,104.0,0.28289824187533297,24.0,2532.0,0.9927576667899375,0.0,9.0,104.0
1877.0,0.0,123.0,665.0,520.0,595.0,97.0,0.2770378263185935,26.0,2558.0,0.9927409295298047,0.0,9.0,97.0
1875.0,2.0,123.0,653.0,503.0,597.0,122.0,0.26826666666666665,26.0,2584.0,0.9927274989559686,0.0,9.0,122.0
1875.0,0.0,125.0,649.0,498.0,603.0,125.0,0.2656,24.0,2608.0,0.9926999870279976,0.0,9.0,125.0
1873.0,2.0,125.0,643.0,513.0,592.0,125.0,0.27389215162840364,39.0,2647.0,0.9926743007328559,0.0,9.0,126.0
1872.0,1.0,127.0,628.0,497.0,610.0,137.0,0.265491452991453,37.0,2684.0,0.9926488456143706,0.0,9.0,138.0
1871.0,1.0,128.0,632.0,492.0,608.0,139.0,0.26296098343132013,34.0,2718.0,0.9925975751175401,0.0,9.0,139.0
1870.0,1.0,129.0,632.0,496.0,608.0,134.0,0.26524064171122996,38.0,2756.0,0.9925738128602857,0.0,9.0,134.0
1869.0,1.0,130.0,650.0,508.0,592.0,119.0,0.27180310326377743,36.0,2792.0,0.9925497350830045,0.0,9.0,119.0
1865.0,4.0,131.0,648.0,486.0,600.0,131.0,0.26058981233243966,42.0,2834.0,0.9925316971894798,0.0,9.0,131.0
1862.0,3.0,135.0,638.0,517.0,572.0,135.0,0.27765843179377014,41.0,2875.0,0.9925074690728941,0.0,9.0,135.0
1857.0,5.0,138.0,617.0,532.0,578.0,130.0,0.28648357565966615,34.0,2909.0,0.9924824002486741,0.0,9.0,130.0
1856.0,1.0,143.0,588.0,532.0,598.0,138.0,0.28663793103448276,33.0,2942.0,0.9924543807618205,0.0,9.0,138.0
1855.0,1.0,144.0,600.0,551.0,577.0,127.0,0.29703504043126683,47.0,2989.0,0.9924391132992407,0.0,0.0,127.0
1854.0,1.0,145.0,586.0,562.0,563.0,143.0,0.30312837108953616,32.0,3021.0,0.9924573995274106,0.0,0.0,144.0
1850.0,4.0,146.0,578.0,578.0,568.0,126.0,0.3124324324324324,49.0,3070.0,0.9924707567564504,0.0,0.0,126.0
1848.0,2.0,150.0,574.0,576.0,586.0,112.0,0.3116883116883117,38.0,3108.0,0.9924405567313874,0.0,0.0,112.0
1846.0,2.0,152.0,585.0,571.0,579.0,111.0,0.30931744312026005,27.0,3135.0,0.9924668090181024,0.0,0.0,111.0
1846.0,0.0,154.0,583.0,577.0,582.0,104.0,0.3125677139761647,34.0,3169.0,0.9924917536828853,0.0,0.0,104.0
1843.0,3.0,154.0,596.0,556.0,583.0,108.0,0.30168204015192623,25.0,3194.0,0.9925164738456853,0.0,0.0,109.0
1842.0,1.0,157.0,596.0,560.0,573.0,113.0,0.30401737242128124,30.0,3224.0,0.9925404358513443,0.0,0.0,114.0
1840.0,2.0,158.0,589.0,571.0,570.0,110.0,0.31032608695652175,33.0,3257.0,0.9925593611178716,0.0,0.0,110.0
1837.0,3.0,160.0,574.0,564.0,578.0,121.0,0.3070223189983669,30.0,3287.0,0.9925850798407836,0.0,0.0,121.0
1834.0,3.0,163.0,571.0,547.0,592.0,124.0,0.29825517993456924,31.0,3318.0,0.9926014606087031,0.0,0.0,124.0
1834.0,0.0,166.0,599.0,557.0,558.0,120.0,0.3037077426390403,36.0,3354.0,0.9926225150307924,0.0,0.0,120.0
1833.0,1.0,166.0,602.0,554.0,565.0,112.0,0.3022367703218767,55.0,3409.0,0.9926498080711909,0.0,0.0,112.0
1831.0,2.0,167.0,594.0,551.0,581.0,105.0,0.3009284543965046,33.0,3442.0,0.992633257839152,0.0,0.0,105.0
